stem,plate,label,length_px,signal_mean,signal_frac,straightness,signal_p25
P23_B03_ACT104_EGFR,PLATE_23,1,39.01999334358954,150.0,1.0,0.9812374297477902,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,31.20091219568924,148.25,1.0,0.9428506080018547,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,1189.194904337524,129.89690721649484,1.0,0.0,112.0
P23_B03_ACT104_EGFR,PLATE_23,0,445.7152917977398,144.02283105022832,1.0,0.08084888684176039,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,50.66720824253181,149.7037037037037,1.0,0.9065191096309267,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,371.1223674162029,133.92631578947368,1.0,0.0,122.0
P23_B03_ACT104_EGFR,PLATE_23,1,1750.8049324317894,139.2365364308342,1.0,0.044637079486120154,133.0
P23_B03_ACT104_EGFR,PLATE_23,1,287.80393012067884,138.63013698630138,1.0,0.0,125.0
P23_B03_ACT104_EGFR,PLATE_23,0,169.72899379087565,145.86607142857142,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,308.28141898820326,145.96755162241888,0.9882005899705014,0.1044964742120742,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,221.0499213432492,136.28205128205127,1.0,0.0,130.0
P23_B03_ACT104_EGFR,PLATE_23,1,986.0748642807363,141.4697926059513,1.0,0.15049328666012607,145.0
P23_B03_ACT104_EGFR,PLATE_23,1,413.0318237744956,144.2797619047619,1.0,0.590547133806759,146.0
P23_B03_ACT104_EGFR,PLATE_23,1,365.7372057821393,142.6632911392405,1.0,0.9893455129630903,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,841.9787551592452,148.8882282996433,1.0,0.20164339240816825,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,74.84217993689019,150.0,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,440.0707467076959,143.1090909090909,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,1665.7590973460829,138.34257975034674,0.9958391123439667,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,27.30892838184606,150.0,1.0,0.8042263227009974,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,978.3076153567558,133.09811320754716,1.0,0.0,122.0
P23_B03_ACT104_EGFR,PLATE_23,1,50.29557021534386,142.8939393939394,1.0,0.9595689995414473,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,998.5534608982966,132.306101344364,0.9979317476732161,0.12560513113324562,126.0
P23_B03_ACT104_EGFR,PLATE_23,0,26.051672973116478,139.89655172413794,1.0,0.8511270464843824,125.0
P23_B03_ACT104_EGFR,PLATE_23,0,264.284028860237,144.3582089552239,1.0,0.9087880947741266,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,276.45111316975226,149.64117647058825,1.0,0.9886567536652107,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,295.80356219611224,124.67391304347827,1.0,0.0,113.0
P23_B03_ACT104_EGFR,PLATE_23,1,47.8787872266763,150.0,1.0,0.7936022996499265,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,659.2616386649904,138.85816618911176,0.9914040114613181,0.40146865101609197,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,673.0106546479918,149.05562422744129,1.0,0.7027777369656503,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,399.1249746695605,135.58620689655172,1.0,0.0,123.0
P23_B03_ACT104_EGFR,PLATE_23,1,356.19024735448744,149.75720164609052,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,136.7370574983531,117.14925373134328,1.0,0.0,100.0
P23_B03_ACT104_EGFR,PLATE_23,1,153.95323144461793,150.0,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,907.1999090825544,131.53152173913043,0.9945652173913043,0.07771735000631826,122.0
P23_B03_ACT104_EGFR,PLATE_23,1,1619.215197075002,115.05784574468085,0.9960106382978723,0.07630050324666185,96.0
P23_B03_ACT104_EGFR,PLATE_23,1,229.31866056915203,103.91666666666667,1.0,0.997568236222222,73.0
P23_B03_ACT104_EGFR,PLATE_23,1,231.6095692900493,150.0,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,1305.8792587082835,132.74313186813185,0.9965659340659341,0.47027521300317016,122.0
P23_B03_ACT104_EGFR,PLATE_23,1,332.4961944870609,148.26315789473685,1.0,0.9791570594568048,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,83.93178512254013,150.0,1.0,0.02394920466769608,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,409.0018249978971,143.57065217391303,1.0,0.9938958227895826,145.0
P23_B03_ACT104_EGFR,PLATE_23,0,28.088317498650653,150.0,1.0,0.8293253376305818,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,147.47576952387726,137.8125,1.0,0.8745167102931343,122.0
P23_B03_ACT104_EGFR,PLATE_23,1,617.2175144462348,127.82874617737004,1.0,0.0,110.25
